rank,score,nyc_percentile,hist_relative_pct,pred_gbm,pred_ridge,zip,city,county,state,zhvi,mom_5y_rel,log_price_rel_metro,nbr_log_price_gap,rent_yield,price_to_income_rel,bachelors_share_rel,d5_log_income_rel,d5_log_housing_units_rel,zillow_1y_forecast_pct,origin
1,69.07160076286362,100.0,1.3169027130496058,77.20233480573013,60.940866719997125,07711,Allenhurst,Monmouth County,NJ,2551963.0,0.3538470047321528,1.2337419486670047,0.8069844585099908,0.0138716745105938,1.2328992890664316,0.2342724468478597,-0.379025938189951,0.0173396650878115,3.6,2026-07-31
2,68.94193883092433,99.87966305655836,1.3169027130496058,65.49653216143108,72.38734550041757,10462,New York,Bronx County,NY,254850.0,-0.1286883100916217,-1.0702010921268954,-0.8054872547264615,0.1197666642530499,-0.4592605594442756,-0.2265263085710558,-0.1149888698609782,-0.0021317065251921,2.0,2026-07-31
3,67.34113702295346,99.75932611311671,1.3169027130496058,67.1323997663075,67.54987427959944,08742,Point Pleasant,Ocean County,NJ,885209.0,0.1445274707811762,0.1749476403712027,-0.2649909142619897,0.0441797711115321,0.0827851399936612,0.0410338474553022,-0.0160735344634552,-0.0007774296720374,2.9,2026-07-31
4,66.05743330495628,99.63898916967509,1.3169027130496058,67.74212955427517,64.3727370556374,07446,Ramsey,Bergen County,NJ,898748.0,0.064358379160517,0.19012694239286,-0.1433530910030001,0.0280389926664893,-0.1699957131480503,0.1791874604687016,-0.1444819678509237,-0.0946301270767208,2.8,2026-07-31
5,65.64242422039388,99.51865222623346,1.3169027130496058,72.80770048920563,58.47714795158211,07928,Chatham,Morris County,NJ,1398136.0,0.1135137362343851,0.6320187639254389,0.25239039189427,0.0288515636118366,-0.0448056218970276,0.3304698006392538,-0.0885513623679994,-0.0310659576425426,3.3,2026-07-31
6,63.99532385682124,99.3983152827918,0.8839399587082353,74.34549372226226,53.64515399138021,07760,Rumson,Monmouth County,NJ,1893311.0,0.1353933944486595,0.935206162346578,0.7153466637674821,0.0199090390609228,0.2331222329010838,0.2818575872042927,0.0637362508185468,0.0215027793370004,3.5,2026-07-31
7,63.810291651157264,99.27797833935018,0.8839399587082353,72.29164234227035,55.32894096004418,07417,Franklin Lakes,Bergen County,NJ,1649638.0,0.1604207512103585,0.7974348993990876,0.7305367286317601,0.0283334904820642,0.0547625059094645,0.2826788021842865,0.080804966864262,-0.0629754767869845,3.4,2026-07-31
8,63.42055766938396,99.15764139590854,0.8839399587082353,71.77288060861497,55.06823473015295,11797,Woodbury,Nassau County,NY,1551974.0,0.1128767367462838,0.7364070341157714,0.3368153213444813,0.0271293128542526,0.1970016712859681,0.1716035721627421,-0.1776521698037694,-0.0560596390294063,2.7,2026-07-31
9,63.22477730337677,99.03730445246693,0.8839399587082353,65.21186638884697,61.23768821790656,08724,Brick,Ocean County,NJ,524165.0,0.1288838145465124,-0.349068943252929,-0.7682161984722935,0.0579333692061596,-0.2637733172446872,-0.1246978486719197,0.027057662031666,-0.0365432796304998,2.5,2026-07-31
10,63.12400631133384,98.91696750902528,0.8839399587082353,72.77814263697154,53.469869985696135,07901,Summit,Union County,NJ,1421026.0,0.1108999614461957,0.6482579013806031,0.2677385965139542,0.0255484501667073,0.1782204071907205,0.2204491594182714,-0.0813020397654433,0.048448292585942,3.3,2026-07-31
11,63.07721737065813,98.79663056558364,0.8839399587082353,63.75183609328358,62.40259864803269,12563,Patterson,Putnam County,NY,485898.0,0.0529676670022766,-0.4248773189163213,-0.159991851268721,,-0.2928136859668513,-0.1767677331149578,-0.2776729740164416,-0.2505173079051805,2.5,2026-07-31
12,63.032673133732345,98.676293622142,0.8839399587082353,70.82487235588994,55.24047391157475,07090,Westfield,Union County,NJ,1328987.0,0.1179976075213144,0.5812962286140344,0.6084802792080168,0.0303722873520095,-0.1468918168425486,0.2901287165294635,0.0762209410949399,-0.0045377621865367,2.9,2026-07-31
13,62.77364893205139,98.55595667870035,0.8839399587082353,62.52273564372,63.024562220382776,18405,Beach Lake,Wayne County,PA,310993.0,0.0514757867652274,-0.8711046848458466,-0.0276572186809556,,-0.4330481007984137,-0.2330455572680991,-0.0593023221172295,-0.1503933951503008,,2026-07-31
14,62.489718137541175,98.43561973525873,0.8839399587082353,64.96512406477471,60.01431221030765,11961,Ridge,Suffolk County,NY,521407.0,0.0794012142680106,-0.3543459710646655,-0.1923578783851312,,0.0333394789452767,-0.2016187530799049,-0.1495896941978589,-0.0297655673422593,2.7,2026-07-31
15,62.37449580351529,98.31528279181708,0.8839399587082353,60.491113324496006,64.25787828253458,07718,Belford,Monmouth County,NJ,644357.0,0.101384000369546,-0.1426226235442591,-0.2163210667526556,,-0.3006083244098765,-0.0378966121201739,-0.1875824910960588,-0.0005819877735457,2.8,2026-07-31
16,62.32605409329236,98.19494584837544,0.8839399587082353,65.09654221559845,59.55556597098626,07974,New Providence,Union County,NJ,1022120.0,0.0965889520553688,0.3187577248299931,-0.0219780371731381,0.0327698072853383,-0.1126641007027331,0.2253054407717488,-0.1197043530201806,0.1987484835231099,2.9,2026-07-31
17,62.24174698278988,98.0746089049338,0.8839399587082353,63.93872852289726,60.54476544268249,08723,Brick,Ocean County,NJ,526199.0,0.0891837901469671,-0.3451961440829851,-0.5094290718206071,0.0637274373583098,-0.312006557236127,-0.1578720256882046,0.1229685723283822,-0.0633585291500026,2.2,2026-07-31
18,61.97854841384702,97.95427196149218,0.8839399587082353,63.04562383470808,60.91147299298596,07420,Wanaque,Passaic County,NJ,506841.0,0.0906702163056024,-0.382678951283296,-0.2696373065234176,,-0.3553171809133382,-0.1479989518834342,0.0343236071038361,-0.0094785030381589,2.1,2026-07-31
19,61.97547968521023,97.83393501805054,0.8839399587082353,69.16860141291055,54.78235795750992,08735,Lavallette,Ocean County,NJ,1222858.0,0.134711972523489,0.4980697767081565,0.5887809729355826,0.0196261554459244,0.8758589386273179,0.033288810008428,-0.2351925198200373,-0.0046985506586183,3.0,2026-07-31
20,61.89156715867905,97.71359807460892,0.8839399587082353,63.553868585793296,60.229265731564816,08740,Ocean Gate,Ocean County,NJ,452864.0,0.1375250025099891,-0.4952837020321663,-0.3194348462944081,,-0.013870476530456,-0.1559139230132091,-0.0418397368178435,-0.0601740418006142,2.3,2026-07-31
21,61.849260935815536,97.59326113116728,0.8839399587082353,62.000539346563855,61.69798252506722,11784,Selden,Suffolk County,NY,608331.0,0.0904764286135527,-0.2001577318967822,-0.0820145322080136,,-0.126833563971114,-0.1985838069012743,-0.1163904998882365,0.04219070429342,2.9,2026-07-31
