rank,score,nyc_percentile,hist_relative_pct,pred_gbm,pred_ridge,zip,city,county,state,zhvi,mom_5y_rel,log_price_rel_metro,nbr_log_price_gap,rent_yield,price_to_income_rel,bachelors_share_rel,d5_log_income_rel,d5_log_housing_units_rel,zillow_1y_forecast_pct,origin
1,74.2469329720582,100.0,4.281643076712016,67.63004490144085,80.86382104267554,10462,New York,Bronx County,NY,254850.0,-0.1286883100916217,-1.0702010921268954,-0.8054872547264615,0.1197666642530499,-0.4592605594442756,-0.2265263085710558,-0.1149888698609782,-0.0021317065251921,2.0,2026-07-31
2,70.75355304903289,99.87966305655836,4.281643076712016,73.87807637694014,67.62902972112565,18336,Matamoras,Pike County,PA,307553.0,0.0534229331494881,-0.8822280021085707,-0.1581793068487105,,-0.4277973364282339,-0.1688278427619804,-0.2066934544901943,0.0931205150490471,2.2,2026-07-31
3,68.81851190781332,99.75932611311671,3.2028942057090948,69.80377627966192,67.83324753596472,18337,Milford,Pike County,PA,356960.0,0.0242356307731718,-0.7332517462629227,0.1008145375376994,,-0.5461952434654223,-0.1560876462946188,-0.1040221218497183,0.0857834763363707,2.0,2026-07-31
4,68.08667925009911,99.63898916967509,3.2028942057090948,71.84881073944209,64.32454776075615,07439,Ogdensburg,Sussex County,NJ,437204.0,0.0547692641633638,-0.5304764786089731,-0.0947928261991393,,-0.4684138626268546,-0.1446073061561892,-0.0680055502759273,-0.0122958549605527,2.1,2026-07-31
5,66.76258818519246,99.51865222623346,3.2028942057090948,72.9127873858461,60.6123889845388,08722,Beachwood,Ocean County,NJ,475088.0,0.130526572951393,-0.4473759084852169,-0.1274425545174828,,-0.3976198943481634,-0.2159380110746803,0.0610793946277787,0.0334412503795287,2.2,2026-07-31
6,66.31782746400059,99.3983152827918,3.2028942057090948,70.15499394998388,62.4806609780173,11961,Ridge,Suffolk County,NY,521407.0,0.0794012142680106,-0.3543459710646655,-0.1923578783851312,,0.0333394789452767,-0.2016187530799049,-0.1495896941978589,-0.0297655673422593,2.7,2026-07-31
7,66.25986794398366,99.27797833935018,3.2028942057090948,72.87404701980455,59.64568886816277,07419,Hamburg,Sussex County,NJ,402973.0,0.0932637143507197,-0.6120054060881923,-0.1092978491555207,,-0.503023429391795,-0.134169432245706,-0.1015635337354741,0.0629789140260473,2.1,2026-07-31
8,66.25782795309678,99.15764139590854,3.2028942057090948,73.79163506288428,58.72402084330929,07462,Vernon,Sussex County,NJ,301279.0,0.1315070671647248,-0.9028400349230594,-0.3907049219024419,,-0.7453582811303445,-0.1635930004833232,-0.1553056242641588,0.0317684175634005,1.6,2026-07-31
9,66.05926055027024,99.03730445246693,3.2028942057090948,66.82102046296863,65.29750063757184,12563,Patterson,Putnam County,NY,485898.0,0.0529676670022766,-0.4248773189163213,-0.159991851268721,,-0.2928136859668513,-0.1767677331149578,-0.2776729740164416,-0.2505173079051805,2.5,2026-07-31
10,65.99848982099905,98.91696750902528,3.2028942057090948,66.82062657875115,65.17635306324696,07827,Montague Township,Sussex County,NJ,324869.0,0.0441094103498404,-0.827454738904537,-0.2005831129475925,,-0.7257047965782608,-0.1998950917298742,0.0625337924484092,-0.1913260705243524,2.0,2026-07-31
11,65.71115465973668,98.79663056558364,3.2028942057090948,71.06883221163697,60.3534771078364,08828,Helmetta,Middlesex County,NJ,434055.0,0.032039170316516,-0.5377060122962245,-0.3358554095994321,,-0.4110840319545137,-0.0856338582986174,-0.1697527916870189,0.0704911303494662,1.7,2026-07-31
